time,open,high,low,close,Volume
1745420100,92952,93000,92861.8,92892.4,285.0406
1745420400,92892.4,92898.8,92512.9,92722.5,3481.4294
1745420700,92722.5,92810,92600,92695.6,802.8985
1745421000,92695.6,92777.5,92570,92615,501.4173
1745421300,92615,92619.9,92150,92220.1,3061.0135
1745421600,92220.1,92360,92010,92160.8,2794.4569
1745421900,92160.8,92184.1,91919,92127.9,1429.2677
1745422200,92127.9,92380,92000.4,92323.1,2001.7183
1745422500,92323.1,92767.3,92275.1,92682.7,1380.6448
1745422800,92682.7,92764.4,92503.1,92549.9,1080.2034
1745423100,92549.9,92655,92506,92610.8,435.8314
1745423400,92610.8,92820.1,92610.8,92787.2,553.3432
1745423700,92787.2,93188,92760,93140.2,1933.1227
1745424000,93140.2,93175,92950,93174.9,1673.612
1745424300,93174.9,93298.6,93011,93041.7,904.2676
1745424600,93041.7,93188,93005.5,93097.4,520.1746
1745424900,93097.4,93134.6,92989.8,93062.3,465.4641
1745425200,93062.3,93098.4,92850,92868.5,351.1452
1745425500,92868.5,93333.4,92868.5,93320.8,722.6779
1745425800,93320.8,93442.5,93266.6,93300.9,917.0653
1745426100,93300.9,93720.3,93266.3,93648.4,1378.6829
1745426400,93648.4,93648.4,93435.7,93481,901.9945
1745426700,93481,93636,93480,93593,277.9967
1745427000,93593,93708.1,93540.3,93708.1,351.7567
1745427300,93708.1,93708.1,93513.4,93593.8,307.4376
1745427600,93593.8,93797.1,93411.1,93767.2,1972.7243
1745427900,93767.2,93888,93755.5,93840.5,448.7043
1745428200,93840.5,93864.3,93763.9,93806.1,360.0288
1745428500,93806.1,93841.1,93734,93821,257.1039
1745428800,93821,93870,93733.1,93736.7,264.931
1745429100,93736.7,93794.4,93667.3,93719.6,175.7859
1745429400,93719.6,93835.3,93610,93610.1,152.9992
1745429700,93610.1,93650,93532.3,93641,396.7172
1745430000,93641,93770.5,93577.8,93740,163.7174
1745430300,93740,93746.2,93655,93700.2,158.0688
1745430600,93700.2,93800,93660.5,93799.1,95.4327
1745430900,93799.1,93917,93790,93843.9,513.479
1745431200,93843.9,93893,93790,93849.9,277.5497
1745431500,93849.9,94000,93825.6,93977.7,184.8702
1745431800,93977.7,94170,93977,94006.7,1123.1472
1745432100,94006.7,94148,94000,94055,325.6419
1745432400,94055,94125,93939.4,93969.9,340.7496
1745432700,93969.9,93969.9,93857.6,93857.6,423.5109
1745433000,93857.6,93917.1,93780,93865.7,331.1979
1745433300,93865.7,93882.5,93743,93794,363.1092
1745433600,93794,93794.1,93653.2,93653.3,133.6645
1745433900,93653.3,93720.3,93633.2,93685.3,296.5233
1745434200,93685.3,93689.7,93590.2,93619.2,188.8818
1745434500,93619.2,93713.7,93569.7,93569.7,129.2108
1745434800,93569.7,93569.7,93371.3,93393.6,281.5747
1745435100,93393.6,93492.8,93312,93387.5,617.9899
1745435400,93387.5,93448.1,93224.9,93224.9,301.2453
1745435700,93224.9,93344.2,93174.4,93196.2,453.3143
1745436000,93196.2,93239.9,93100,93144.5,407.3644
1745436300,93144.5,93150,92906.2,92953.8,466.1118
1745436600,92953.8,93245.8,92922,93224.8,619.9078
1745436900,93224.8,93244.3,93126.6,93243.4,480.5552
1745437200,93243.4,93364.8,93243.4,93353.1,506.2653
1745437500,93353.1,93421.7,93340.3,93421.1,257.7465
1745437800,93421.1,93530,93308,93500,367.5169
1745438100,93500,93556,93429.1,93440,219.7331
1745438400,93440,93560,93413,93460.3,421.3283
1745438700,93460.3,93550,93421.1,93533.2,200.2453
1745439000,93533.2,93588,93513.8,93588,111.953
1745439300,93588,93811,93587.9,93804.3,470.6084
1745439600,93804.3,93807.2,93675,93692.7,143.8107
1745439900,93692.7,93800,93630.5,93675.7,178.294
1745440200,93675.7,93793.5,93675.7,93769.9,233.9469
1745440500,93769.9,93809.8,93676.7,93676.7,64.4433
1745440800,93676.7,93678.4,93612,93629.3,249.0326
1745441100,93629.3,93688,93535.2,93557.5,150.4979
1745441400,93557.5,93654.2,93557.5,93654.2,99.3692
1745441700,93654.2,93688,93582.7,93582.7,124.1189
1745442000,93582.7,93687.9,93523.4,93651.7,75.6893
1745442300,93651.7,93789.4,93651.6,93764.5,328.0372
1745442600,93764.5,93868,93721.4,93800.1,226.3752
1745442900,93800.1,93810,93745.8,93745.8,91.263
1745443200,93745.8,93759.7,93743,93750.1,48.9632
1745443500,93750.1,93750.1,93661.9,93695.9,131.081
1745443800,93695.9,93747.1,93675,93710.9,135.4235
1745444100,93710.9,93734.5,93685.3,93690.3,52.1119
1745444400,93690.3,93690.3,93319.8,93469.8,570.6007
1745444700,93469.8,93588,93447.8,93479.4,454.4029
1745445000,93479.4,93572.5,93459.8,93497.1,162.1168
1745445300,93497.1,93522.2,93225.7,93427.5,397.0572
1745445600,93427.5,93472.9,93251.5,93274.7,212.7124
1745445900,93274.7,93396,93242.7,93245,150.5734
1745446200,93245,93277.3,93187,93225.3,490.5944
1745446500,93225.3,93386.1,93225.2,93386.1,150.7722
1745446800,93386.1,93410,93350,93410,121.6851
1745447100,93410,93436.5,93360.6,93371.3,127.4341
1745447400,93371.3,93529.2,93354.2,93529.2,96.9908
1745447700,93529.2,93625,93529.2,93553.1,215.1825
1745448000,93553.1,93673.1,93541.5,93673.1,173.8517
1745448300,93673.1,93722,93672.2,93697.3,458.1682
1745448600,93697.3,93717.7,93666,93684.1,119.2392
1745448900,93684.1,93746.4,93684.1,93739.9,104.3447
1745449200,93739.9,93759.6,93650.1,93679.7,138.3028
1745449500,93679.7,93800,93655.5,93790.5,163.6821
1745449800,93790.5,93790.5,93732.7,93761,111.336
1745450100,93761,93766.4,93631.6,93664.7,152.9425
1745450400,93664.7,93730,93661.6,93714.3,74.6233
1745450700,93714.3,93722.2,93629.9,93650,155.0397
1745451000,93650,93652,93627.5,93630.7,42.5972
1745451300,93630.7,93630.8,93561.9,93596.4,137.7105
1745451600,93596.4,93596.5,93500,93529,204.2578
1745451900,93529,93565.8,93493.5,93517.2,139.7262
1745452200,93517.2,93528.8,93479.4,93523.1,86.1455
